elapsed,temp_phy0,temp_phy1,tx_mbps,rx_mbps,total_mbps
168.6,69.0,69.0,0.0,0.0,0.0
169.7,69.0,69.0,0.0,0.0,0.0
170.8,69.0,69.0,0.0,0.0,0.0
171.8,69.0,69.0,0.0,0.0,0.0
172.9,69.0,69.0,0.0,0.0,0.0
173.9,67.0,67.0,0.0,0.0,0.0
175.0,69.0,69.0,0.0,0.0,0.0
176.1,69.0,69.0,0.0,0.0,0.0
177.1,67.0,67.0,0.0,0.0,0.0
178.2,69.0,69.0,0.0,0.0,0.0
179.2,69.0,69.0,0.0,0.0,0.0
180.3,69.0,69.0,0.0,0.0,0.0
181.4,69.0,69.0,0.0,0.0,0.0
182.4,69.0,69.0,0.0,0.0,0.0
183.5,69.0,69.0,0.0,0.0,0.0
184.5,69.0,69.0,0.0,0.0,0.0
185.6,69.0,69.0,0.0,0.0,0.0
186.7,69.0,69.0,0.0,0.0,0.0
187.7,69.0,69.0,0.0,0.0,0.0
188.8,69.0,69.0,0.0,0.0,0.0
189.9,69.0,69.0,0.0,0.0,0.0
190.9,69.0,69.0,0.0,0.0,0.0
192.0,69.0,69.0,0.0,0.0,0.0
193.0,69.0,69.0,0.0,0.0,0.0
194.1,69.0,69.0,0.0,0.0,0.0
195.2,69.0,69.0,0.0,0.0,0.0
196.2,69.0,69.0,0.0,0.0,0.0
197.3,69.0,69.0,0.0,0.0,0.0
198.4,69.0,69.0,0.0,0.0,0.0
199.4,69.0,69.0,0.0,0.0,0.0
200.5,69.0,69.0,0.0,0.0,0.0
201.5,69.0,69.0,0.0,0.0,0.0
202.6,69.0,69.0,0.0,0.0,0.0
203.7,69.0,69.0,0.0,0.0,0.0
204.7,69.0,69.0,0.0,0.0,0.0
205.8,69.0,69.0,0.0,0.0,0.0
206.8,67.0,67.0,0.0,0.0,0.0
207.9,69.0,69.0,0.0,0.0,0.0
209.0,69.0,69.0,0.0,0.0,0.0
210.0,67.0,67.0,0.0,0.0,0.0
211.1,69.0,69.0,0.0,0.0,0.0
212.1,69.0,69.0,0.0,0.0,0.0
213.2,69.0,69.0,0.0,0.0,0.0
214.3,69.0,69.0,0.0,0.0,0.0
215.3,67.0,67.0,0.0,0.0,0.0
216.4,67.0,67.0,0.0,0.0,0.0
217.5,69.0,69.0,0.0,0.0,0.0
218.5,67.0,67.0,0.0,0.0,0.0
219.6,69.0,69.0,0.0,0.0,0.0
220.6,69.0,69.0,0.0,0.0,0.0
221.7,67.0,67.0,0.0,0.0,0.0
222.8,69.0,69.0,0.0,0.0,0.0
223.8,67.0,67.0,0.0,0.0,0.0
224.9,67.0,67.0,0.0,0.0,0.0
226.0,69.0,69.0,0.0,0.0,0.0
227.0,69.0,69.0,0.0,0.0,0.0
228.1,69.0,69.0,0.0,0.0,0.0
229.2,67.0,67.0,0.0,0.0,0.0
230.2,67.0,67.0,0.0,0.0,0.0
231.3,69.0,69.0,0.0,0.0,0.0
232.3,69.0,69.0,0.0,0.0,0.0
233.4,67.0,67.0,0.0,0.0,0.0
234.5,69.0,69.0,0.0,0.0,0.0
235.5,67.0,67.0,0.0,0.0,0.0
236.6,69.0,69.0,0.0,0.0,0.0
237.6,69.0,69.0,0.0,0.0,0.0
238.7,67.0,67.0,0.0,0.0,0.0
239.8,69.0,69.0,0.0,0.0,0.0
240.8,69.0,69.0,0.0,0.0,0.0
241.9,69.0,69.0,0.0,0.0,0.0
243.0,67.0,67.0,0.0,0.0,0.0
244.0,67.0,67.0,0.0,0.0,0.0
245.1,67.0,67.0,0.0,0.0,0.0
246.2,67.0,67.0,0.0,0.0,0.0
247.2,69.0,69.0,0.0,0.0,0.0
248.3,67.0,67.0,0.0,0.0,0.0
249.3,67.0,67.0,0.0,0.0,0.0
250.4,69.0,69.0,0.0,0.0,0.0
251.5,69.0,69.0,0.0,0.0,0.0
252.5,67.0,67.0,0.0,0.0,0.0
253.6,69.0,69.0,0.0,0.0,0.0
254.7,69.0,69.0,0.0,0.0,0.0
255.7,67.0,67.0,0.0,0.0,0.0
256.8,67.0,67.0,0.0,0.0,0.0
257.8,67.0,67.0,0.0,0.0,0.0
258.9,69.0,69.0,0.0,0.0,0.0
260.0,67.0,67.0,0.0,0.0,0.0
261.0,67.0,67.0,0.0,0.0,0.0
262.1,69.0,69.0,0.0,0.0,0.0
263.2,67.0,67.0,0.0,0.0,0.0
264.2,67.0,67.0,0.0,0.0,0.0
265.3,67.0,67.0,0.0,0.0,0.0
266.3,67.0,67.0,0.0,0.0,0.0
267.4,67.0,67.0,0.0,0.0,0.0
268.5,67.0,67.0,0.0,0.0,0.0
269.5,67.0,67.0,0.0,0.0,0.0
270.6,69.0,69.0,0.0,0.0,0.0
271.6,67.0,67.0,0.0,0.0,0.0
272.7,67.0,67.0,0.0,0.0,0.0
273.8,69.0,69.0,0.0,0.0,0.0
274.8,67.0,67.0,0.0,0.0,0.0
275.9,67.0,67.0,0.0,0.0,0.0
276.9,69.0,69.0,0.0,0.0,0.0
278.0,67.0,67.0,0.0,0.0,0.0
279.1,69.0,69.0,0.0,0.0,0.0
280.1,67.0,67.0,0.0,0.0,0.0
281.2,67.0,67.0,0.0,0.0,0.0
282.3,69.0,69.0,0.0,0.0,0.0
283.3,67.0,67.0,0.0,0.0,0.0
284.4,67.0,67.0,0.0,0.0,0.0
285.4,69.0,69.0,0.0,0.0,0.0
286.5,67.0,67.0,0.0,0.0,0.0
287.6,67.0,67.0,0.0,0.0,0.0
288.6,67.0,67.0,0.0,0.0,0.0
289.7,67.0,67.0,0.0,0.0,0.0
290.7,67.0,67.0,0.0,0.0,0.0
291.8,67.0,67.0,0.0,0.0,0.0
292.9,67.0,67.0,0.0,0.0,0.0
293.9,67.0,67.0,0.0,0.0,0.0
295.0,67.0,67.0,0.0,0.0,0.0
296.0,67.0,67.0,0.0,0.0,0.0
297.1,67.0,67.0,0.0,0.0,0.0
298.2,67.0,67.0,0.0,0.0,0.0
299.2,67.0,67.0,0.0,0.0,0.0
300.3,67.0,67.0,0.0,0.0,0.0
301.4,67.0,67.0,0.0,0.0,0.0
302.4,67.0,67.0,0.0,0.0,0.0
303.5,67.0,67.0,0.0,0.0,0.0
304.5,67.0,67.0,0.0,0.0,0.0
305.6,67.0,67.0,0.0,0.0,0.0
306.7,67.0,67.0,0.0,0.0,0.0
307.7,67.0,67.0,0.0,0.0,0.0
308.8,67.0,67.0,0.0,0.0,0.0
309.8,67.0,67.0,0.0,0.0,0.0
310.9,67.0,67.0,0.0,0.0,0.0
312.0,67.0,67.0,0.0,0.0,0.0
313.0,67.0,67.0,0.0,0.0,0.0
314.1,67.0,67.0,0.0,0.0,0.0
315.2,67.0,67.0,0.0,0.0,0.0
316.2,67.0,67.0,0.0,0.0,0.0
317.3,67.0,67.0,0.0,0.0,0.0
318.3,67.0,67.0,0.0,0.0,0.0
319.4,67.0,67.0,0.0,0.0,0.0
320.5,67.0,67.0,0.0,0.0,0.0
321.5,67.0,67.0,0.0,0.0,0.0
322.6,67.0,67.0,0.0,0.0,0.0
323.7,67.0,67.0,0.0,0.0,0.0
324.7,69.0,69.0,0.0,0.0,0.0
325.8,67.0,67.0,0.0,0.0,0.0
326.8,67.0,67.0,0.0,0.0,0.0
327.9,67.0,67.0,0.0,0.0,0.0
329.0,67.0,67.0,0.0,0.0,0.0
330.0,67.0,67.0,0.0,0.0,0.0
331.1,67.0,67.0,0.0,0.0,0.0
332.2,67.0,67.0,0.0,0.0,0.0
333.2,67.0,67.0,0.0,0.0,0.0
334.3,67.0,67.0,0.0,0.0,0.0
335.3,67.0,67.0,0.0,0.0,0.0
336.4,67.0,67.0,0.0,0.0,0.0
337.5,67.0,67.0,0.0,0.0,0.0
338.5,67.0,67.0,0.0,0.0,0.0
339.6,67.0,67.0,0.0,0.0,0.0
340.6,67.0,67.0,0.0,0.0,0.0
341.7,67.0,67.0,0.0,0.0,0.0
342.8,67.0,67.0,0.0,0.0,0.0
343.8,67.0,67.0,0.0,0.0,0.0
344.9,67.0,67.0,0.0,0.0,0.0
345.9,67.0,67.0,0.0,0.0,0.0
347.0,67.0,67.0,0.0,0.0,0.0
348.1,67.0,67.0,0.0,0.0,0.0
349.1,67.0,67.0,0.0,0.0,0.0
350.2,67.0,67.0,0.0,0.0,0.0
351.3,67.0,67.0,0.0,0.0,0.0
352.3,67.0,67.0,0.0,0.0,0.0
353.4,69.0,69.0,0.0,0.0,0.0
354.4,67.0,67.0,0.0,0.0,0.0
355.5,67.0,67.0,0.0,0.0,0.0
356.6,67.0,67.0,0.0,0.0,0.0
357.6,67.0,67.0,0.0,0.0,0.0
358.7,67.0,67.0,0.0,0.0,0.0
359.7,67.0,67.0,0.0,0.0,0.0
360.8,67.0,67.0,0.0,0.0,0.0
361.9,69.0,69.0,0.0,0.0,0.0
362.9,67.0,67.0,0.0,0.0,0.0
364.0,67.0,67.0,0.0,0.0,0.0
365.0,67.0,67.0,0.0,0.0,0.0
366.1,67.0,67.0,0.0,0.0,0.0
367.2,67.0,67.0,0.0,0.0,0.0
368.2,67.0,67.0,0.0,0.0,0.0
369.3,67.0,67.0,0.0,0.0,0.0
370.4,67.0,67.0,0.0,0.0,0.0
371.4,67.0,67.0,0.0,0.0,0.0
372.5,67.0,67.0,0.0,0.0,0.0
373.5,67.0,67.0,0.0,0.0,0.0
374.6,67.0,67.0,0.0,0.0,0.0
375.7,67.0,67.0,0.0,0.0,0.0
376.7,67.0,67.0,0.0,0.0,0.0
377.8,67.0,67.0,0.0,0.0,0.0
378.9,67.0,67.0,0.0,0.0,0.0
379.9,67.0,67.0,0.0,0.0,0.0
381.0,67.0,67.0,0.0,0.0,0.0
382.0,67.0,67.0,0.0,0.0,0.0
383.1,67.0,67.0,0.0,0.0,0.0
384.2,67.0,67.0,0.0,0.0,0.0
385.2,67.0,67.0,0.0,0.0,0.0
386.3,67.0,67.0,0.0,0.0,0.0
387.3,67.0,67.0,0.0,0.0,0.0
388.4,67.0,67.0,0.0,0.0,0.0
389.5,69.0,69.0,0.0,0.0,0.0
390.5,67.0,67.0,0.0,0.0,0.0
391.6,67.0,67.0,0.0,0.0,0.0
392.7,67.0,67.0,0.0,0.0,0.0
393.7,67.0,67.0,0.0,0.0,0.0
394.8,67.0,67.0,0.0,0.0,0.0
395.8,67.0,67.0,0.0,0.0,0.0
396.9,67.0,67.0,0.0,0.0,0.0
398.0,67.0,67.0,0.0,0.0,0.0
399.0,67.0,67.0,0.0,0.0,0.0
400.1,67.0,67.0,0.0,0.0,0.0
401.1,67.0,67.0,0.0,0.0,0.0
402.2,67.0,67.0,0.0,0.0,0.0
403.3,67.0,67.0,0.0,0.0,0.0
404.3,67.0,67.0,0.0,0.0,0.0
405.4,67.0,67.0,0.0,0.0,0.0
406.5,67.0,67.0,0.0,0.0,0.0
407.5,67.0,67.0,0.0,0.0,0.0
408.6,67.0,67.0,0.0,0.0,0.0
409.6,67.0,67.0,0.0,0.0,0.0
410.7,67.0,67.0,0.0,0.0,0.0
411.8,67.0,67.0,0.0,0.0,0.0
412.8,67.0,67.0,0.0,0.0,0.0
413.9,67.0,67.0,0.0,0.0,0.0
415.0,67.0,67.0,0.0,0.0,0.0
416.0,67.0,67.0,0.0,0.0,0.0
417.1,67.0,67.0,0.0,0.0,0.0
418.1,67.0,67.0,0.0,0.0,0.0
419.2,67.0,67.0,0.0,0.0,0.0
420.3,67.0,67.0,0.0,0.0,0.0
421.3,67.0,67.0,0.0,0.0,0.0
422.4,67.0,67.0,0.0,0.0,0.0
423.5,67.0,67.0,0.0,0.0,0.0
424.5,67.0,67.0,0.0,0.0,0.0
425.6,67.0,67.0,0.0,0.0,0.0
426.6,67.0,67.0,0.0,0.0,0.0
427.7,67.0,67.0,0.0,0.0,0.0
428.8,67.0,67.0,0.0,0.0,0.0
429.8,67.0,67.0,0.0,0.0,0.0
430.9,67.0,67.0,0.0,0.0,0.0
431.9,67.0,67.0,0.0,0.0,0.0
433.0,67.0,67.0,0.0,0.0,0.0
434.1,67.0,67.0,0.0,0.0,0.0
435.1,67.0,67.0,0.0,0.0,0.0
436.2,67.0,67.0,0.0,0.0,0.0
437.3,67.0,67.0,0.0,0.0,0.0
438.3,67.0,67.0,0.0,0.0,0.0
439.4,67.0,67.0,0.0,0.0,0.0
440.4,67.0,67.0,0.0,0.0,0.0
441.5,67.0,67.0,0.0,0.0,0.0
442.6,67.0,67.0,0.0,0.0,0.0
443.6,67.0,67.0,0.0,0.0,0.0
444.7,67.0,67.0,0.0,0.0,0.0
445.7,67.0,67.0,0.0,0.0,0.0
446.8,67.0,67.0,0.0,0.0,0.0
447.9,67.0,67.0,0.0,0.0,0.0
448.9,67.0,67.0,0.0,0.0,0.0
450.0,67.0,67.0,0.0,0.0,0.0
451.0,67.0,67.0,0.0,0.0,0.0
452.1,67.0,67.0,0.0,0.0,0.0
453.2,67.0,67.0,0.0,0.0,0.0
454.2,67.0,67.0,0.0,0.0,0.0
455.3,67.0,67.0,0.0,0.0,0.0
456.4,67.0,67.0,0.0,0.0,0.0
457.4,67.0,67.0,0.0,0.0,0.0
458.5,67.0,67.0,0.0,0.0,0.0
459.6,67.0,67.0,0.0,0.0,0.0
460.6,67.0,67.0,0.0,0.0,0.0
461.7,67.0,67.0,0.0,0.0,0.0
462.7,67.0,67.0,0.0,0.0,0.0
463.8,67.0,67.0,0.0,0.0,0.0
464.9,67.0,67.0,0.0,0.0,0.0
465.9,67.0,67.0,0.0,0.0,0.0
467.0,67.0,67.0,0.0,0.0,0.0
468.0,67.0,67.0,0.0,0.0,0.0
469.1,67.0,67.0,0.0,0.0,0.0
470.2,67.0,67.0,0.0,0.0,0.0
471.2,67.0,67.0,0.0,0.0,0.0
472.3,67.0,67.0,0.0,0.0,0.0
473.3,67.0,67.0,0.0,0.0,0.0
474.4,67.0,67.0,0.0,0.0,0.0
475.5,67.0,67.0,0.0,0.0,0.0
476.5,67.0,67.0,0.0,0.0,0.0
477.6,67.0,67.0,0.0,0.0,0.0
478.6,67.0,67.0,0.0,0.0,0.0
479.7,67.0,67.0,0.0,0.0,0.0
480.8,67.0,67.0,0.0,0.0,0.0
481.8,67.0,67.0,0.0,0.0,0.0
482.9,67.0,67.0,0.0,0.0,0.0
483.9,67.0,67.0,0.0,0.0,0.0
485.0,67.0,67.0,0.0,0.0,0.0
486.1,67.0,67.0,0.0,0.0,0.0
487.1,67.0,67.0,0.0,0.0,0.0
488.2,67.0,67.0,0.0,0.0,0.0
489.2,67.0,67.0,0.0,0.0,0.0
490.3,67.0,67.0,0.0,0.0,0.0
491.4,67.0,67.0,0.0,0.0,0.0
492.4,67.0,67.0,0.0,0.0,0.0
493.5,67.0,67.0,0.0,0.0,0.0
494.6,67.0,67.0,0.0,0.0,0.0
495.6,67.0,67.0,0.0,0.0,0.0
496.7,67.0,67.0,0.0,0.0,0.0
497.7,67.0,67.0,0.0,0.0,0.0
498.8,67.0,67.0,0.0,0.0,0.0
499.9,67.0,67.0,0.0,0.0,0.0
500.9,67.0,67.0,0.0,0.0,0.0
502.0,67.0,67.0,0.0,0.0,0.0
503.1,67.0,67.0,0.0,0.0,0.0
504.1,67.0,67.0,0.0,0.0,0.0
505.2,67.0,67.0,0.0,0.0,0.0
506.2,67.0,67.0,0.0,0.0,0.0
507.3,67.0,67.0,0.0,0.0,0.0
508.4,67.0,67.0,0.0,0.0,0.0
509.4,67.0,67.0,0.0,0.0,0.0
510.5,67.0,67.0,0.0,0.0,0.0
511.6,67.0,67.0,0.0,0.0,0.0
512.6,67.0,67.0,0.0,0.0,0.0
513.7,67.0,67.0,0.0,0.0,0.0
514.8,67.0,67.0,0.0,0.0,0.0
515.8,67.0,67.0,0.0,0.0,0.0
516.9,67.0,67.0,0.0,0.0,0.0
517.9,67.0,67.0,0.0,0.0,0.0
519.0,67.0,67.0,0.0,0.0,0.0
520.1,67.0,67.0,0.0,0.0,0.0
521.1,67.0,67.0,0.0,0.0,0.0
522.2,67.0,67.0,0.0,0.0,0.0
523.2,67.0,67.0,0.0,0.0,0.0
524.3,67.0,67.0,0.0,0.0,0.0
525.4,67.0,67.0,0.0,0.0,0.0
526.4,67.0,67.0,0.0,0.0,0.0
527.5,67.0,67.0,0.0,0.0,0.0
